,City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
101,monatele,,,,{},,,,
102,tiruvottiyur,,,,{},,,,
103,rincon,8.46,-82.28,PA,1566778813,75.2,94,75,2.24
104,catuday,16.29,119.81,PH,1566778814,82.52,81,89,8.79
105,aracuai,-16.85,-42.07,BR,1566778814,65.24,83,23,5.97
106,lhokseumawe,5.18,97.15,ID,1566778814,70.28,80,100,3.4
107,vanderhoof,54.02,-124.02,CA,1566778815,63.26,36,20,11.52
108,corum,38.8,29.89,TR,1566778815,68,69,4,8.01
109,sadon,42.85,44,RU,1566778815,41.48,82,53,4.56
110,kolpashevo,58.31,82.9,RU,1566778816,49.4,92,82,4.52
111,kodiak,39.95,-94.76,US,1566778816,68,93,90,12.75
112,segou,12.41,-12.29,SN,1566778816,71.36,98,100,3.65
113,gaillac,43.9,1.9,FR,1566778817,69.8,68,0,1.28
114,lisakovsk,52.55,62.49,KZ,1566778817,58.94,77,68,13.42
115,alekseyevskaya,45.77,40.15,RU,1566778818,77,45,0,5.44
116,shenzhen,22.54,114.05,CN,1566778818,82.99,83,40,10.29
117,nzerekore,7.76,-8.82,GN,1566778818,68.12,99,93,3.94
118,sikandarpur,26.04,84.05,IN,1566778819,80.36,84,74,5.01
119,cabanbanan,10.18,122.9,PH,1566778819,81.8,79,71,7
120,le vauclin,14.55,-60.84,MQ,1566778820,84.2,78,75,9.17
121,kukmor,56.19,50.9,RU,1566778820,48.32,95,27,11.39
122,muleba,-1.84,31.66,TZ,1566778820,69.8,77,40,3.98
123,saravan,39.72,45.65,AM,1566778820,71.6,43,20,6.93
124,new haven,41.31,-72.93,US,1566778821,69.01,72,1,5.82
125,tzucacab,20.07,-89.05,MX,1566778821,92.24,39,60,4.14
126,boshnyakovo,49.65,142.17,RU,1566778822,56.96,80,68,5.35
127,russas,-4.93,-37.97,BR,1566778822,74.96,76,35,6.33
128,eisenberg,50.97,11.9,DE,1566778822,73,88,0,1.12
129,zhuhai,40.71,112.04,CN,1566778822,64.4,77,40,11.18
130,jieshi,22.82,115.83,CN,1566778823,79,88,100,1.01
131,miram shah,33.01,70.07,PK,1566778823,78.02,49,0,2.04
132,ouadda,8.07,22.4,CF,1566778823,65.78,98,100,3.89
133,makaryev,57.88,43.81,RU,1566778824,44.54,96,38,3.11
134,zaragoza,13.59,-89.29,SV,1566778611,86,74,40,2.24
135,severodvinsk,64.56,39.82,RU,1566778824,46.4,100,40,6.71
136,masjed-e soleyman,,,,{},,,,
137,umba,66.69,34.34,RU,1566778824,51.38,98,100,6.64
138,da nang,,,,{},,,,
139,antalaha,-14.9,50.28,MG,1566778825,61.1,96,29,4.07
140,fernie,49.5,-115.06,CA,1566778825,69.8,30,40,9.17
141,chulym,55.09,80.97,RU,1566778825,50.66,80,34,4.12
142,mayo,63.59,-135.9,CA,1566778826,64.4,27,40,6.93
143,gua musang,4.88,101.97,MY,1566778826,66.5,77,100,1.99
144,miguelopolis,-20.18,-48.03,BR,1566778826,77,31,0,6.93
145,palembang,-2.99,104.76,ID,1566778827,74.96,84,97,3.65
146,mathbaria,22.29,89.96,BD,1566778827,78.38,93,43,5.93
147,harindanga,22.04,88.32,IN,1566778827,82.4,88,75,6.93
148,bossembele,,,,{},,,,
149,kyzyl-suu,42.34,78,KG,1566778828,63.98,50,0,5.1
150,brcko,44.87,18.81,BA,1566778828,71.01,83,0,5.82
151,jupiter,26.93,-80.09,US,1566778828,84.2,100,1,7.14
152,haibowan,,,,{},,,,
153,dharchula,29.85,80.53,IN,1566778630,54.08,83,100,6.8
154,likasi,-10.99,26.74,CD,1566778829,61.46,53,0,4.21
155,karamea,,,,{},,,,
156,moree,-29.46,149.84,AU,1566778583,73,23,0,3.36
157,businga,3.34,20.89,CD,1566778830,67.76,98,92,1.39
158,palatka,60.1,150.94,RU,1566778830,46.7,86,100,5.66
159,baoying,33.24,119.31,CN,1566778830,80.18,87,51,12.17
160,jiazi,19.61,110.49,CN,1566778831,80.6,94,40,2.24
161,kourou,5.16,-52.64,GF,1566778831,80.6,83,0,6.93
162,wodonga,-36.12,146.89,AU,1566778804,55.99,75,12,1.12
163,ust-kuyga,70,135.55,RU,1566778831,56.24,70,71,3.38
164,taseyevo,57.22,94.9,RU,1566778832,50.66,95,15,6.8
165,neepawa,50.23,-99.46,CA,1566778832,69.8,73,75,6.93
166,molchanovo,57.58,83.76,RU,1566778832,49.4,90,85,4.85
167,new richmond,48.17,-65.87,CA,1566778833,68,56,1,3.36
168,shakhtinsk,49.71,72.59,KZ,1566778833,46.4,93,0,6.71
169,atuona,-9.8,-139.03,PF,1566778833,78.92,69,0,15.97
170,lawrenceville,38.73,-87.68,US,1566778834,80.01,78,40,5.82
171,salmo,49.19,-117.28,CA,1566778834,66.68,28,26,6.98
172,alotau,,,,{},,,,
173,mandapeta,16.87,81.93,IN,1566778834,76.58,89,100,5.3
174,kumano,34.34,132.59,JP,1566778835,79,69,40,2.24
175,corralillo,22.98,-80.59,CU,1566778835,81.62,80,100,5.17
176,cotonou,6.37,2.43,BJ,1566778835,78.8,88,40,10.29
177,santa fe,-31.62,-60.7,AR,1566778835,63,88,90,8.05
178,luocheng,28.29,114.55,CN,1566778836,73.34,96,73,5.93
179,dogondoutchi,13.64,4.03,NE,1566778836,78.74,76,100,6.98
180,verona,45.44,10.99,IT,1566778836,78.8,73,40,2.24
181,singapore,1.29,103.85,MY,1566778805,84,88,75,4.7
182,qandahar,,,,{},,,,
183,trairi,-3.28,-39.27,BR,1566778837,72.44,84,9,6.22
184,thibodaux,29.8,-90.82,US,1566778837,78.8,94,75,5.82
185,galesong,-5.32,119.37,ID,1566778838,77,69,20,1.12
186,phuntsholing,26.86,89.38,IN,1566778838,68.3,78,12,6.44
187,triel-sur-seine,48.98,2.01,FR,1566778838,73,72,0,3.36
188,albanel,48.88,-72.44,CA,1566778839,68,68,5,3.36
189,giaveno,45.04,7.35,IT,1566778839,75,73,20,3.36
190,nadadores,27.03,-101.59,MX,1566778839,100,28,51,1.99
191,seymchan,62.93,152.39,RU,1566778839,60.56,59,7,6.51
192,tucurui,-3.77,-49.67,BR,1566778647,84.14,46,61,2.68
193,ridgecrest,35.62,-117.67,US,1566778760,105.8,9,1,17.22
194,wazzan,,,,{},,,,
195,khash,28.22,61.21,IR,1566778744,55.16,22,0,3.04
196,kathmandu,27.71,85.32,NP,1566778841,69.8,100,75,2.24
197,shakiso,5.77,38.9,ET,1566778841,53,95,74,0.67
198,novoleushkovskaya,45.99,39.99,RU,1566778841,77,45,0,6.2
199,north battleford,52.78,-108.3,CA,1566778841,71.6,40,75,14.99
200,otaru,43.18,140.99,JP,1566778842,69.01,93,75,8.05
201,palo alto,37.44,-122.16,US,1566778727,87.01,57,1,8.05
202,keetmanshoop,-26.57,18.15,NA,1566778843,62.6,16,0,2.24
203,macheng,31.18,115.03,CN,1566778843,79.28,86,87,6.17
204,waynesboro,35.32,-87.76,US,1566778831,75.2,100,90,10.29
205,wanganui,-39.93,175.05,NZ,1566778843,57,63,38,35.99
206,turki,51.98,43.27,RU,1566778844,52.1,89,42,7.87
207,porirua,-41.14,174.84,NZ,1566778844,59,54,4,16.11
208,kalikino,52.95,39.83,RU,1566778844,53.6,81,0,4.47
209,yarada,17.65,83.27,IN,1566778845,80.6,88,75,9.17
210,thatta,31.7,74.64,IN,1566778845,80.6,83,40,11.41
211,nandu,31.44,119.33,CN,1566778845,80.6,100,75,8.95
212,zhenlai,45.84,123.2,CN,1566778845,68.3,85,100,11.63
213,tlazazalca,19.97,-102.06,MX,1566778846,73.4,78,90,9.17
214,hasaki,35.73,140.83,JP,1566778622,77,73,75,9.17
215,idritsa,56.33,28.9,RU,1566778846,53.54,87,3,4.41
216,luba,17.32,120.7,PH,1566778846,81.08,80,14,1.88
217,camargo,27.69,-105.17,MX,1566778847,90.26,30,80,4.38
218,troianul,44,25.02,RO,1566778847,73.34,61,0,15.28
219,goya,-29.14,-59.27,AR,1566778847,64.4,82,90,16.11
220,hobart,-42.88,147.33,AU,1566778566,57,62,20,9.17
221,shushenskoye,53.33,91.95,RU,1566778848,55.4,100,23,1.16
222,qunduz,,,,{},,,,
223,santa cruz del sur,20.71,-78,CU,1566778848,80,80,61,5.21
224,lyngseidet,69.58,20.21,NO,1566778849,52,100,75,24.16
225,kefamenanu,-9.45,124.48,ID,1566778827,76.76,38,43,3.29
226,chitipa,-9.7,33.27,MW,1566778849,58.22,87,0,6.78
227,berbera,,,,{},,,,
228,bondo,3.81,23.69,CD,1566778850,67.4,99,100,2.08
229,dera bugti,29.03,69.15,PK,1566778850,84.32,43,0,1.79
230,indiana,40.62,-79.15,US,1566778850,69.01,63,1,4.7
231,boda,4.32,17.47,CF,1566778850,66.68,97,100,2.1
232,karangampel,-6.46,108.44,ID,1566778851,75.32,67,98,3.06
233,shadegan,30.65,48.67,IR,1566778851,91.4,63,0,6.93
234,the pas,53.82,-101.24,CA,1566778851,69.8,73,40,8.05
235,pedra azul,-16.01,-41.28,BR,1566778852,60.92,90,77,4.32
236,strelka,58.08,93.03,RU,1566778852,48.32,96,11,5.08
237,san isidro,10.02,-84.06,CR,1566778852,72,60,0,6.93
238,polonnaruwa,7.94,81,LK,1566778852,81.26,61,99,12.35
239,meylan,45.21,5.78,FR,1566778853,68,82,0,4.7
240,les escoumins,48.35,-69.4,CA,1566778853,57.5,53,0,3
241,bogatynia,50.91,14.95,CZ,1566778853,69.01,95,100,3.11
242,makat,47.65,53.35,KZ,1566778854,78.2,25,100,10.89
243,pasni,25.26,63.48,PK,1566778854,81.08,76,83,4.43
244,mareeba,-16.99,145.42,AU,1566778854,78.01,60,40,16.11
245,phan rang,,,,{},,,,
246,tula,54.19,37.62,RU,1566778855,49.22,92,1,3.29
247,turochak,52.26,87.12,RU,1566778855,52.46,92,16,2.62
248,moscow,55.75,37.62,RU,1566778635,57,100,18,1.61
249,tocopilla,-22.09,-70.2,CL,1566778842,56.6,90,14,9.4
250,yerbogachen,61.28,108.01,RU,1566778856,56.78,75,43,5.84
251,sulina,,,,{},,,,
252,terra roxa,-20.79,-48.33,BR,1566778856,73.4,43,0,6.93
253,hvammstangi,,,,{},,,,
254,sovetskaya,44.78,41.17,RU,1566778857,63,93,0,4
255,porto torres,40.84,8.4,IT,1566778857,73.4,94,0,3.36
256,villa maria,4.5,-74.09,CO,1566778857,82.4,54,40,11.41
257,wenchi,7.74,-2.1,GH,1566778857,71,96,93,7.02
258,shirokiy,53.87,39.17,RU,1566778812,44.01,87,22,4.07
259,viganello,46.01,8.97,IT,1566778858,75.99,100,0,3.36
260,mishkino,56.22,46.62,RU,1566778858,50,93,20,8.95
261,baykit,61.68,96.39,RU,1566778858,49.76,94,82,5.46
262,danshui,22.81,114.46,CN,1566778859,82.99,83,75,8.95
263,masumbwe,-3.65,32.16,TZ,1566778859,74.24,38,100,7.65
264,awbari,26.59,12.77,LY,1566778859,83.6,28,20,8.01
265,viligili,,,,{},,,,
266,port arthur,29.9,-93.93,US,1566778860,82.4,88,20,3.36
267,viking,53.1,-111.78,CA,1566778860,64.7,61,44,12.01
268,katakwi,1.91,33.96,UG,1566778860,65.42,92,57,4.34
269,miastko,54,16.98,PL,1566778861,64.99,63,59,7
270,lake charles,30.23,-93.22,US,1566778861,82.4,88,20,4.81
271,macia,-25.03,33.09,MZ,1566778861,65.06,53,0,7.43
272,sokoto,13.06,5.24,NG,1566778861,74.24,88,97,7.49
273,samarai,-10.62,150.67,PG,1566778862,72.98,95,100,6.13
274,sindor,62.87,51.9,RU,1566778862,43.1,90,61,3.51
275,dongli,24.18,117.61,CN,1566778862,84.2,83,40,4.47
276,hendaye,43.37,-1.77,FR,1566778863,71.6,88,90,4.7
277,ebolowa,2.92,11.15,CM,1566778863,67.22,98,100,2.64
278,nioaque,-21.16,-55.83,BR,1566778863,80.18,27,0,8.52
279,christchurch,-43.53,172.64,NZ,1566778864,57.99,66,36,13.87
280,zile,40.3,35.89,TR,1566778864,66.2,82,0,4.7
281,niteroi,-29.95,-51.16,BR,1566778864,64,82,0,9.17
282,berndorf,47.95,16.11,AT,1566778865,69.01,88,40,3.06
283,voyvozh,62.89,54.96,RU,1566778865,40.4,91,61,6.82
284,hashtrud,37.48,47.05,IR,1566778865,56.78,60,0,2.48
285,pocinhos,-7.08,-36.06,BR,1566778671,69.8,88,20,10.29
286,chilliwack,49.17,-121.95,CA,1566778866,75,46,1,5.82
287,naifaru,5.44,73.37,MV,1566778866,82.34,76,100,14.92
288,ouegoa,-20.34,164.44,NC,1566778866,69.02,65,10,7.74
289,churachandpur,24.33,93.67,IN,1566778866,69.38,95,1,1.99
290,olonets,60.98,32.97,RU,1566778867,59.66,76,95,19.86
291,tulun,54.56,100.58,RU,1566778867,53.18,92,81,6.93
292,tsihombe,,,,{},,,,
293,okandja,,,,{},,,,
294,dingzhou,38.51,115,CN,1566778868,68,100,100,2.24
295,narva-joesuu,59.46,28.04,EE,1566778868,60.56,77,71,11.41
296,yulin,38.3,109.75,CN,1566778869,71.36,58,100,1.9
297,dunmore town,25.5,-76.65,BS,1566778869,84.5,80,100,8.52
298,agadir,30.42,-9.58,MA,1566778869,71.6,73,75,24.45
299,namtsy,62.72,129.66,RU,1566778869,60.8,67,0,6.71
300,chase,38.35,-98.35,US,1566778870,82.4,61,40,9.17
301,jinka,5.79,36.57,ET,1566778718,63.08,79,53,5.44
302,guiyang,26.58,106.71,CN,1566778870,68,88,30,2.24
303,zlatarica,,,,{},,,,
304,kamiiso,41.82,140.65,JP,1566778871,68,68,20,4.7
305,margherita,27.29,95.67,IN,1566778871,82.4,94,75,3.36
306,iwanai,42.97,140.51,JP,1566778871,58.22,92,41,1.88
307,plastun,44.76,136.29,RU,1566778872,63.62,68,46,2.91
308,fomboni,-12.28,43.74,KM,1566778872,76.94,76,0,14.63
309,tomelloso,39.16,-3.02,ES,1566778872,73,44,83,19.19
310,simoes,-7.6,-40.82,BR,1566778873,77.3,45,10,6.64
311,onguday,50.75,86.14,RU,1566778873,42.38,93,6,2.95
312,barranca,-10.75,-77.76,PE,1566778849,58.94,90,58,10.83
313,rengo,-34.41,-70.86,CL,1566778630,62.6,55,100,3.36
314,gunnedah,-30.98,150.25,AU,1566778874,64.4,42,0,3.36
315,narasannapeta,18.42,84.04,IN,1566778874,77.3,90,100,1.52
316,ankang,32.73,108.99,CN,1566778874,73.7,79,55,3.29
317,kankakee,41.12,-87.86,US,1566778875,75.99,56,1,5.82
318,balikpapan,-1.24,116.86,ID,1566778875,75.86,81,91,4.61
319,porosozero,62.72,32.71,RU,1566778875,54.08,87,100,10.56
320,preobrazhenskaya,,,,{},,,,
321,notse,6.95,1.17,TG,1566778876,71.9,96,97,5.14
322,nova vicosa,-17.89,-39.37,BR,1566778876,71,84,29,5.44
323,listvyanka,51.86,104.86,RU,1566778876,53.6,100,75,4.47
324,angoche,-16.23,39.91,MZ,1566778876,67.22,95,28,3.76
325,yefremov,53.14,38.12,RU,1566778877,51.56,93,0,4.72
326,kimberley,-28.74,24.76,ZA,1566778877,46.4,36,0,3.36
327,bertinoro,44.15,12.13,IT,1566778877,73,83,0,2.24
328,porciuncula,-20.96,-42.04,BR,1566778878,59.12,92,56,6.93
329,lokoja,7.8,6.74,NG,1566778878,71.9,96,89,3.31
330,lumberton,30.27,-94.2,US,1566778878,82.4,83,1,4.7
331,katsuura,33.93,134.5,JP,1566778878,80.01,78,75,4.7
332,sault sainte marie,46.49,-84.36,CA,1566778879,71.6,56,1,6.93
333,tres picos,16.23,-93.58,MX,1566778879,74.78,94,23,3.94
334,fram,-27.1,-56.02,PY,1566778880,73.4,56,24,3.36
335,bonavista,48.65,-53.11,CA,1566778880,55.99,77,77,14
336,samagaltay,50.6,95,RU,1566778880,49.94,58,60,3.8
337,zeya,53.74,127.27,RU,1566778881,66.86,61,13,3.18
338,barreirinha,-2.8,-57.07,BR,1566778881,82.34,57,52,2.57
339,okoneshnikovo,54.84,75.08,RU,1566778881,53.54,68,15,8.55
340,forio,40.73,13.86,IT,1566778882,79,64,0,3.36
341,gibara,21.11,-76.13,CU,1566778882,77,94,40,3.36
342,enid,36.4,-97.88,US,1566778780,90,66,1,10.29
343,kankaanpaa,61.8,22.42,FI,1566778882,62.01,93,0,5.82
344,barillas,41.97,-1.66,ES,1566778883,75.2,49,34,14.99
345,paucartambo,,,,{},,,,
346,neyshabur,36.21,58.79,IR,1566778883,51.74,29,0,2.98
347,hudson bay,52.86,-102.4,CA,1566778884,59.66,93,100,5.61
348,parainen,,,,{},,,,
349,logumkloster,55.06,8.96,DK,1566778884,68,77,0,5.82
350,barbosa ferraz,-24.03,-52.01,BR,1566778884,71.01,48,0,5.01
351,fort morgan,40.25,-103.8,US,1566778885,95,24,1,11.41
352,king city,43.93,-79.54,CA,1566778885,71.6,46,20,18.34
353,jiaojiang,,,,{},,,,
354,berga,42.1,1.85,ES,1566778886,73,83,0,1.12
355,itatskiy,56.07,89.04,RU,1566778886,50.3,93,24,4.41
356,ivanteyevka,55.97,37.92,RU,1566778886,57,93,0,4.47
357,khorixas,-20.37,14.96,NA,1566778887,61.28,19,0,6.69
358,lahat,-3.78,103.55,ID,1566778887,68.48,79,98,2.8
359,atlantic city,,,,{},,,,
360,kitgum,3.3,32.88,UG,1566778887,65.24,97,1,1.74
361,samus,56.74,84.7,RU,1566778888,50,100,0,2.24
362,lokosovo,61.13,74.84,RU,1566778888,45.98,78,100,3.87
363,indija,55.45,22.23,LT,1566778888,60.2,95,0,4.76
364,lebu,8.96,38.73,ET,1566778839,55.7,86,30,1.34
365,kurumkan,54.33,110.32,RU,1566778889,43.28,98,100,7.36
366,mandurah,-32.55,115.7,AU,1566778889,55,76,0,8.05
367,debre tabor,11.86,38.01,ET,1566778890,55.16,89,33,1.3
368,endicott,42.1,-76.05,US,1566778890,66.99,63,1,5.82
369,qibili,,,,{},,,,
370,sorvag,,,,{},,,,
371,sarangani,5.4,125.46,PH,1566778891,83.24,75,100,9.91
372,bogorodskoye,52.37,140.44,RU,1566778891,58.22,69,14,4.34
373,balaguer,41.79,0.81,ES,1566778892,72,64,24,8.05
374,farrukhnagar,28.45,76.82,IN,1566778892,88,88,75,4.7
375,stillwater,36.12,-97.06,US,1566778892,87.8,62,1,9.17
376,chihuahua,28.66,-106.08,MX,1566778893,89.6,27,75,5.82
377,kopervik,59.28,5.31,NO,1566778893,63,87,36,11.41
378,semenyih,2.95,101.84,MY,1566778893,77,94,75,2.42
379,winston,43.12,-123.41,US,1566778894,89.6,23,1,12.75
380,klyuchevskiy,53.53,119.45,RU,1566778894,57.68,91,75,1.95
381,killini,,,,{},,,,
382,barnbach,47.03,15.85,AT,1566778894,69.01,93,96,1.12
383,maiduguri,11.84,13.15,NG,1566778895,76.04,76,97,7.52
384,vozdvizhenka,56.12,60.78,RU,1566778895,51.8,100,75,8.95
385,malinovoye ozero,51.68,79.77,RU,1566778895,60.02,55,73,7.76
386,sijunjung,-0.69,100.95,ID,1566778896,67.4,95,96,0.56
387,emporia,38.4,-96.18,US,1566778896,75.2,83,90,5.82
388,terra santa,-2.1,-56.49,BR,1566778896,82.34,45,24,3.29
389,rong kwang,18.34,100.32,TH,1566778897,72.62,97,75,0.02
390,eganville,45.54,-77.1,CA,1566778897,75.2,36,1,5.61
391,arvin,35.21,-118.83,US,1566778898,102.99,24,20,11.41
392,jiaozuo,35.21,113.25,CN,1566778898,70.28,71,87,1.54
393,egvekinot,66.32,-179.17,RU,1566778898,55.88,78,93,6.15
394,freeport,26.54,-78.7,BS,1566778737,84.2,79,75,12.75
395,granger,41.75,-86.11,US,1566778685,73.4,60,1,5.82
396,mandalay,21.98,96.08,MM,1566778899,78.8,94,75,5.82
397,avenal,36,-120.13,US,1566778899,102.99,24,20,8.05
398,fredericton,45.97,-66.65,CA,1566778638,64.4,72,1,3.36
399,ambulu,-8.35,113.61,ID,1566778900,72.44,87,87,5.79
400,kotma,23.2,81.98,IN,1566779028,72.98,91,100,1.03
401,sidi ali,36.1,0.42,DZ,1566778864,76.22,88,4,10.6
402,severnoye,54.09,52.54,RU,1566779028,50.3,86,29,13.11
403,espinosa,-14.92,-42.81,BR,1566779028,69.56,53,74,11.3
404,maracacume,-2.04,-45.96,BR,1566779010,72.8,87,0,3.56
405,tumut,-35.3,148.22,AU,1566779029,51.38,50,1,2.28
406,jos,9.92,8.9,NG,1566779029,68.12,86,100,2.68
407,owosso,43,-84.18,US,1566779029,71.6,56,1,5.82
408,carmo do rio claro,-20.97,-46.12,BR,1566778871,61.46,58,0,6.55
409,mahanje,,,,{},,,,
410,palanga,44.45,25.08,RO,1566779030,79,59,7,12.68
411,lazaro cardenas,28.39,-105.62,MX,1566779030,89.6,27,75,5.82
412,kardla,58.44,26.57,EE,1566779031,55.99,81,0,2.24
413,zhicheng,35.04,112.59,CN,1566779031,73.7,67,81,3.42
414,zomin,39.96,68.4,UZ,1566779031,68.66,31,0,3.4
415,tulle,45.27,1.77,FR,1566779031,64.99,77,0,5.82
